rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,extra_points,factor,final_score,goe,info,program_component,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,is_mens
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,15.2,4F+3T,1.0,0.0,,19.6,4.4,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,11.0,4F,2.0,0.0,,15.24,4.24,,,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,9.7,4S,3.0,0.0,,11.5,1.8,,,0.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,3.2,CCSp4,4.0,0.0,,4.16,0.96,,,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,11.5,4Lz,5.0,0.0,,16.43,4.93,,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,3.9,StSq4,6.0,0.0,,5.52,1.62,,,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,11.55,4T+1Eu+1F,7.0,1.0,,13.18,1.63,,,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,8.8,3A,8.0,1.0,,10.97,2.17,,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,11.11,3Lz+3T,9.0,1.0,,12.46,1.35,,,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,1.88,CCoSp2V,10.0,0.0,,2.52,0.64,,,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,3.0,ChSq1,11.0,0.0,,4.93,1.93,,,3.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,3.5,FCCoSp4,12.0,0.0,,4.9,1.4,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,,,,,2.0,9.71,,,Composition,9.5,9.5,9.75,9.75,9.75,10.0,9.75,9.75,9.75,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,,,,,2.0,9.86,,,Interpretation of the Music,10.0,9.75,9.75,10.0,9.75,10.0,9.5,9.75,10.0,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,,,,,2.0,9.79,,,Performance,9.75,9.5,9.75,10.0,9.75,10.0,9.75,9.75,9.75,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,,,,,2.0,9.71,,,Skating Skills,9.75,9.75,9.5,9.75,9.75,9.5,9.75,9.75,9.75,0,1
1,Chen Nathan,USA,24,218.63,121.41,97.22,0.0,,,,,2.0,9.54,,,Transitions,9.5,9.5,9.5,9.5,9.75,9.5,9.25,9.5,9.75,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,9.7,4S,1.0,0.0,,14.13,4.43,,,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,10.5,4Loq,2.0,0.0,,5.85,-4.65,q,,-5.0,-5.0,-4.0,-3.0,-5.0,-3.0,-4.0,-5.0,-5.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,9.5,4T,3.0,0.0,,13.3,3.8,,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,9.3,3A+2T,4.0,0.0,,12.04,2.74,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,3.0,CSSp4,5.0,0.0,,3.9,0.9,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,3.9,StSq4,6.0,0.0,,5.46,1.56,,,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,12.43,4T+1Eu+2S,7.0,1.0,,15.01,2.58,,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,11.22,3F+3Lo,8.0,1.0,,13.19,1.97,,,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,8.8,3A,9.0,1.0,,10.63,1.83,,,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,3.0,ChSq1,10.0,0.0,,4.93,1.93,,,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,3.5,CCoSp4,11.0,0.0,,4.8,1.3,,,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,3.5,FCCoSp4,12.0,0.0,,4.75,1.25,,,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,,,,,2.0,9.5,,,Composition,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.25,9.5,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,,,,,2.0,9.43,,,Interpretation of the Music,9.5,9.5,9.5,9.25,9.5,9.5,9.5,9.25,9.25,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,,,,,2.0,9.36,,,Performance,9.5,9.5,9.5,9.0,9.25,9.25,9.5,9.25,9.25,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,,,,,2.0,9.5,,,Skating Skills,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.75,9.5,0,1
2,Kagiyama Yuma,JPN,23,201.93,107.99,93.94,0.0,,,,,2.0,9.18,,,Transitions,9.25,9.0,9.25,9.0,9.25,9.25,9.0,9.25,9.25,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,10.0,4A<,1.0,0.0,,5.0,-5.0,<,,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,9.7,4Sq,2.0,0.0,,4.85,-4.85,q,,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,9.3,3A+2T,3.0,0.0,,11.7,2.4,,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,5.3,3F,4.0,0.0,,6.81,1.51,,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,3.5,FCCoSp4,5.0,0.0,,4.5,1.0,,,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,3.9,StSq4,6.0,0.0,,5.57,1.67,,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,15.07,4T+3T,7.0,1.0,,17.51,2.44,,,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,15.73,4T+1Eu+3S,8.0,1.0,,18.85,3.12,,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,8.8,3A,9.0,1.0,,12.0,3.2,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,3.0,ChSq1,10.0,0.0,,5.14,2.14,,,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,3.0,FCSSp4,11.0,0.0,,4.2,1.2,,,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,2.63,CCoSp4V,12.0,0.0,,3.49,0.86,,,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,,,,,2.0,9.25,,,Composition,9.25,9.0,9.25,9.25,9.25,9.25,9.25,9.25,9.25,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,,,,,2.0,8.79,,,Interpretation of the Music,8.75,8.75,8.75,8.75,8.75,9.0,8.75,8.75,9.0,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,,,,,2.0,8.75,,,Performance,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,,,,,2.0,9.25,,,Skating Skills,9.25,9.5,9.25,9.25,9.25,9.25,8.75,9.25,9.25,0,1
3,Hanyu Yuzuru,JPN,17,188.06,99.62,90.44,-2.0,,,,,2.0,9.18,,,Transitions,9.25,9.25,9.25,9.0,9.25,9.0,8.75,9.25,9.25,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,11.5,4Lz!,1.0,0.0,,12.32,0.82,!,,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,11.0,4F,2.0,0.0,,13.67,2.67,,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,15.3,4Lo+1Eu+3S,3.0,0.0,,17.1,1.8,,,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,8.0,3A,4.0,0.0,,9.71,1.71,,,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,3.0,CSSp4,5.0,0.0,,3.77,0.77,,,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,11.11,3Lz+3T,6.0,1.0,,12.21,1.1,,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,9.53,3F+3T<,7.0,1.0,,9.08,-0.45,<,,-1.0,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,6.49,3Lz,8.0,1.0,,7.59,1.1,,,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,3.5,FCCoSp4,9.0,0.0,,4.25,0.75,,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,3.9,StSq4,10.0,0.0,,4.96,1.06,,,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,3.0,ChSq1,11.0,0.0,,4.14,1.14,,,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,3.5,CCoSp4,12.0,0.0,,4.55,1.05,,,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,,,,,2.0,8.5,,,Composition,8.5,8.5,8.75,8.25,8.5,8.5,8.25,8.75,8.5,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,,,,,2.0,8.43,,,Interpretation of the Music,8.75,8.5,8.5,8.25,8.25,8.5,8.25,8.75,8.25,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,,,,,2.0,8.54,,,Performance,8.75,8.25,8.75,8.5,8.5,8.5,8.25,8.75,8.5,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,,,,,2.0,8.39,,,Skating Skills,8.5,8.25,8.25,8.75,8.5,8.5,8.25,8.5,8.25,0,1
4,Grassl Daniel,ITA,13,187.43,103.35,84.08,0.0,,,,,2.0,8.18,,,Transitions,8.25,8.25,8.25,8.25,8.0,8.25,8.0,8.5,8.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,10.5,4Lo,1.0,0.0,,13.95,3.45,,,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,9.7,4Sq,2.0,0.0,,6.93,-2.77,q,,-4.0,-4.0,-3.0,-2.0,0.0,-4.0,-2.0,-2.0,-3.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,11.0,4F,3.0,0.0,,5.66,-5.34,,,-5.0,-5.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,8.0,3A,4.0,0.0,,10.63,2.63,,,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,3.2,FCSp4,5.0,0.0,,4.16,0.96,,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,3.0,ChSq1,6.0,0.0,,4.79,1.79,,,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,0,1
5,Uno Shoma,JPN,22,187.1,96.24,91.86,-1.0,10.45,4T,7.0,1.0,,9.5,-0.95,,,0.0,-1.0,-2.0,-2.0,-1.0,0.0,-2.0,-1.0,1.0,0,1
