"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","3Lz+3T",10,0,2,NA,2,2,2,3,2,2,0,2,2,12
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","3F",5.5,0,1.8,NA,2,2,2,2,2,2,1,1,2,7.3
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","2A+2T+2Lo",6.3,0,1.4,NA,1,1,1,2,1,2,2,2,1,7.7
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","FCoSp4",3,0,0.8,NA,0.5,0.5,0.5,1,0.5,0.5,1,1,1,3.8
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","SpSq4",3.4,0,2,NA,2,2,2,2,2,2,3,2,2,5.4
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","2A+3T",7.5,0,2,NA,2,2,2,3,2,2,2,2,2,9.5
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","3S",4.95,0,1.4,NA,1,0,1,2,1,1,1,2,2,6.35
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","3Lz",6.6,0,2,NA,2,3,2,3,2,2,2,1,2,8.6
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","SlSt3",3.3,0,1,NA,1,1,1,1,1,1,1.5,1,1,4.3
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","2A",3.85,0,1.4,NA,1,1,1,2,2,1,2,1,1,5.25
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","FSSp4",3,0,0.6,NA,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,3.6
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"ee","CCoSp4",3.5,0,1,NA,0.5,1,1,1,1,1,1.5,1,1,4.5
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"pc","Skating Skills",NA,NA,NA,1.6,8.75,9,9,9.5,8.75,9,9.25,9.25,9,9.05
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1.6,8.25,8,8.5,8.5,9,8.5,9,8.5,8.5,8.6
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"pc","Performance / Execution",NA,NA,NA,1.6,8.75,9.5,9.25,9.25,9,9.25,9.25,9.25,9,9.15
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,8.75,9,9,9.5,8.75,8.75,9.25,9,8.75,8.95
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,NA,"pc","Interpretation",NA,NA,NA,1.6,8.75,9.25,9.25,9.25,8.75,8.75,9.5,9.25,9,9.1
1,"KIM Yu-Na","KOR",21,150.06,78.3,71.76,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","3A",8.2,0,0.8,NA,1,0,1,1,1,1,2,1,0,9
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","3A+2T",9.5,0,0.2,NA,0,1,0,0,0,1,1,-2.8,0,9.7
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","3F+2Lo",7,0,0.6,NA,1,-1,0,1,1,1,1,0,0,7.6
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","FSSp4",3,0,0.8,NA,0.5,1,0.5,1,1,0.5,1,0.5,0.5,3.8
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","SpSq4",3.4,0,2.6,NA,3,3,3,2,3,1,2,2,0,6
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","3Lo",5.5,0,0.6,NA,0,1,1,1,1,1,0,0,0,6.1
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","3F<+2Lo+2Lo",5.17,0,-0.48,NA,-0.6,-0.6,-0.6,-0.3,-0.3,-1,-0.3,-0.6,-0.6,4.69
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","1T",0.44,0,0,NA,0,0,0,0,0,0,0,0,0,0.44
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","2A",3.85,0,1,NA,2,1,1,0,1,1,1,1,1,4.85
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","FCoSp4",3,0,0.8,NA,1,1,1,0.5,1,0.5,0.5,0.5,0,3.8
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","SlSt3",3.3,0,1.1,NA,1,1.5,1,1,1.5,1,1,1,0.5,4.4
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"ee","CCoSp4",3.5,0,0.8,NA,0.5,1.5,1,1,1,1,0.5,0.5,0.5,4.3
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"pc","Skating Skills",NA,NA,NA,1.6,8.5,8.75,8.25,8.75,9.25,7.75,8.5,8.25,8,8.55
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1.6,7.25,8,7.5,8.25,8,7.25,8.25,7.5,7.5,7.85
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"pc","Performance / Execution",NA,NA,NA,1.6,8.5,8.75,8.25,8.5,9,7.75,8.5,8.5,7.25,8.5
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,8.25,8.75,8.25,8.5,8.5,7.75,8.75,8,8,8.45
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,NA,"pc","Interpretation",NA,NA,NA,1.6,8.25,9,8.25,8.75,8.75,7.5,8.75,8,7.75,8.55
2,"ASADA Mao","JPN",22,131.72,64.68,67.04,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3Lz+2T+2Lo",8.8,0,1.2,NA,1,1,2,2,1,1,1,2,1,10
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3F",5.5,0,-1.8,NA,-2,-1,-2,-1,-2,-2,-2,-2,-2,3.7
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3Lo",5,0,1.4,NA,1,2,2,2,2,1,1,1,1,6.4
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","FCSSp4",3,0,0.4,NA,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,3.4
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","SpSq4",3.4,0,1.4,NA,1,2,2,2,1,1,1,2,0,4.8
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3Lz",6.6,0,-0.2,NA,-1,1,1,0,1,-1,-1,-1,0,6.4
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3T+3S+SEQ",7.48,0,0.2,NA,0,1,1,1,0,-1,0,-1,0,7.68
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","2A",3.85,0,-1.28,NA,-1.6,-0.8,-0.8,0,-1.6,0,-0.8,-1.6,-1.6,2.57
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","CCoSp4",3.5,0,0.5,NA,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.5,4
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","3S",4.95,0,1.4,NA,1,1,2,2,1,1,1,2,2,6.35
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","CiSt3",3.3,0,0.8,NA,0.5,1,1,1,0.5,0.5,1,1.5,0.5,4.1
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"ee","FSSp4",3,0,0.4,NA,0,0.5,0.5,0.5,0.5,0,0.5,1,0,3.4
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"pc","Skating Skills",NA,NA,NA,1.6,8.5,8.75,8.25,8.25,8.75,7.75,8.75,9.25,8,8.6
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1.6,8.25,8.5,8.5,8,8.5,7.5,8.25,8.75,7.75,8.3
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"pc","Performance / Execution",NA,NA,NA,1.6,8.75,8.75,8.5,8.25,8.75,8.25,8.25,8.75,7,8.55
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,8.5,8.75,8.5,8.25,8.5,8,8.5,9,9,8.65
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,NA,"pc","Interpretation",NA,NA,NA,1.6,8.5,9,8.5,8.25,8.75,8.5,8.5,9,8.75,8.7
3,"ROCHETTE Joannie","CAN",23,131.28,62.8,68.48,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"LEPISTO Laura","FIN",16,126.61,63.89,62.72,NA,"ee","3T+3T",8,0,1.8,NA,2,2,1,2,1,2,2,2,2,9.8
