"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","3Lz+3T",10,0,2,NA,"2","2","2","2","2","2","2","3","2",12
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","3F",5.5,0,1.2,NA,"1","2","1","2","0","1","1","2","2",6.7
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","LSp4",2.7,0,0.8,NA,"1","0.5","0.5","0.5","1","1","0.5","1","1",3.5
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","SpSq4",3.4,0,2,NA,"2","1","1","2","2","2","2","2","2",5.4
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","2A",3.5,0,1.6,NA,"2","1","1","2","1","2","2","2","1",5.1
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","FSSp4",3,0,0.5,NA,"0.5","0.5","1","0.5","0.5","0.5","0.5","0.5","0.5",3.5
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","SlSt3",3.3,0,0.7,NA,"0.5","0.5","0.5","0.5","1","0.5","1","1","1",4
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"ee","CCoSp4",3.5,0,1,NA,"1","1","1","1","1.5","1","1","1","0.5",4.5
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"pc","Skating Skills",NA,NA,NA,0.8,"8.50","8.50","8.00","8.50","8.75","9.00","8.50","8.50","8.75",8.6
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"7.75","7.75","7.50","7.75","8.00","8.50","8.00","8.25","8.00",7.9
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"8.50","8.50","8.25","8.25","8.50","9.25","8.75","8.75","9.00",8.6
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"8.00","8.50","8.00","8.25","8.50","9.00","8.50","8.50","8.75",8.4
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,NA,"pc","Interpretation",NA,NA,NA,0.8,"8.50","8.50","8.00","8.50","8.75","9.25","8.75","8.75","9.25",8.75
1,"KIM Yu-Na","KOR",23,78.5,44.7,33.8,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","3A+2T",9.5,0,0.6,NA,"0","0","1","1","1","1","1","2","0",10.1
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","3F",5.5,0,0.2,NA,"-1","1","-1","1","1","1","1","1","-1",5.7
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","LSp4",2.7,0,0.7,NA,"0.5","1","0.5","0.5","1","1","1","1","0.5",3.4
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","SpSq4",3.4,0,2,NA,"2","2","2","2","2","3","2","2","2",5.4
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","2A",3.5,0,1.6,NA,"1","1","1","2","2","2","2","2","2",5.1
2,"ASADA Mao","JPN",22,73.78,41.5,32.28,NA,"ee","FSSp4",3,0,0.5,NA,"0.5","0.5","0.5","0.5","0.5","0.5","0","1","0.5",3.5
