"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3Lz+3T",10,0,1.4,NA,"2","2","1","2","1","0","1","2","1",11.4
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3A",8.2,0,0.6,NA,"1","0","0","1","0","0","1","1","1",8.8
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3S",4.5,0,1,NA,"0","2","0","1","1","0","1","1","1",5.5
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","CiSt4",3.9,0,1.2,NA,"2","1","1","2","1","1","1","1","2",5.1
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","FSSp4",3,0,0.8,NA,"1","1","1","1","0.5","0.5","0.5","1","1",3.8
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3A+2T",10.45,0,-0.56,NA,"-1.4","-1.4","-1.4","0","0","-1.4","0","0","-1.4",9.89
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3Lo",5.5,0,1,NA,"1","2","0","1","1","1","1","1","1",6.5
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3F+2T+2Lo",9.13,0,-0.4,NA,"0","-1","-1","1","0","-1","-1","0","0",8.73
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","3Lz",6.6,0,1.4,NA,"1","2","1","2","1","0","1","2","1",8
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","2A",3.85,0,0.8,NA,"1","1","0","1","0","0","1","1","1",4.65
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","FCSSp4",3,0,0.5,NA,"1","0.5","0","1","0.5","0","0.5","0.5","0.5",3.5
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","SlSt3",3.3,0,0.9,NA,"1","1","0.5","1.5","0.5","0.5","1","1","1",4.2
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"ee","CCoSp4",3.5,0,1,NA,"1","0","1","1.5","1","0.5","1","1","1.5",4.5
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"pc","Skating Skills",NA,NA,NA,2,"8","7.5","8.75","8.75","8","8.25","8.25","8","8.5",8.2
"1,","LYSACEK Evan","USA",19,167.37,84.57,82.8,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,2,"8","7.5","8.5","8.5","8","8","7.25","8","8.25",7.95
