"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","4T+3T",13.8,0,1,NA,1,1,1,1,1,1,1,0,1,14.8
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","3A",8.2,0,1.8,NA,2,2,2,1,1,3,2,1,2,10
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","3Lz",6,0,1.2,NA,1,2,1,0,1,2,1,1,2,7.2
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","CCoSp4",3.5,0,0.8,NA,0.5,1,1,1,1,1,1,0.5,0.5,4.3
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","CiSt3",3.3,0,0.7,NA,1,0.5,0.5,1,1,1,0.5,0.5,1.5,4
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","FSSp4",3,0,0.4,NA,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,3.4
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","SlSt3",3.3,0,0.6,NA,0.5,1,0.5,1,0.5,1,0.5,0,0.5,3.9
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"ee","CSSp4",3,0,0.5,NA,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,3.5
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"pc","Skating Skills",NA,NA,NA,1,8.5,8,7.75,8.5,8,8.75,8.25,7,9.25,8.2
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,7.5,7.5,5,8,7.5,7.75,5,6,8.75,6.8
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"pc","Performance / Execution",NA,NA,NA,1,8.5,8.5,9.25,8.75,7.75,8.75,8.75,7.5,8.75,8.65
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"pc","Choreography / Composition",NA,NA,NA,1,8.25,7.75,7.75,8.5,7.75,8,6,7,9,7.85
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,NA,"pc","Interpretation",NA,NA,NA,1,8.5,8,8,8.75,8,8.75,8,7.5,9.25,8.25
"1,","PLUSHENKO Evgeni","RUS",10,90.85,51.1,39.75,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","3A",8.2,0,1.2,NA,1,1,1,1,1,2,1,2,2,9.4
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","3Lz+3T",10,0,1,NA,1,1,1,0,0,2,2,2,1,11
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","3F",5.5,0,1.2,NA,1,0,0,1,-2,2,2,1,2,6.7
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","CiSt4",3.9,0,2.2,NA,1,2,2,2,2,3,2,3,3,6.1
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","CSSp3",2.6,0,0.6,NA,0,0.5,0.5,0.5,0.5,1,0.5,1,1,3.2
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","FSSp4",3,0,0.7,NA,0.5,0.5,1,1,0,1,1,1,0.5,3.7
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","SlSt3",3.3,0,0.7,NA,0,0.5,1,1,0,1,1,1.5,1,4
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"ee","CCoSp4",3.5,0,0.7,NA,1,0.5,1,1,0.5,1.5,0.5,1,0.5,4.2
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"pc","Skating Skills",NA,NA,NA,1,8.25,8.5,8,8.5,8,8.75,7.75,9,7.5,8.2
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8,8.5,8,8.5,6.75,7.75,7.75,8.75,7.75,7.95
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"pc","Performance / Execution",NA,NA,NA,1,8.25,8.75,8.25,8.75,8.5,9.25,8.5,9,8.5,8.6
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"pc","Choreography / Composition",NA,NA,NA,1,8,8.5,8.25,9,8.25,8.75,8.25,9.25,8.75,8.5
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,NA,"pc","Interpretation",NA,NA,NA,1,8.25,8.75,8.5,9,8.75,9,8.25,9.25,9.25,8.75
"2,","LYSACEK Evan","USA",28,90.3,48.3,42,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","3F+3T",9.5,0,0.8,NA,0,1,2,1,2,1,0,1,1,10.3
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","3A",8.2,0,1.4,NA,1,1,2,1,3,2,1,2,2,9.6
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","3Lz",6,0,1.8,NA,0,2,2,2,3,2,1,2,2,7.8
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","CCoSp4",3.5,0,0.4,NA,0,0,0.5,0.5,1,0.5,0.5,0.5,0.5,3.9
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","SlSt4",3.9,0,2.2,NA,3,2,3,1,3,2,2,2,2,6.1
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","FSSp4",3,0,0.3,NA,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,3.3
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","CiSt3",3.3,0,1.1,NA,1,1,1,0.5,1.5,1.5,1,1.5,1.5,4.4
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"ee","CSSp4",3,0,0.5,NA,0,0.5,0.5,0.5,1,1,0.5,0.5,0.5,3.5
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"pc","Skating Skills",NA,NA,NA,1,9,8,9,8,9,8.25,8.25,8,8.5,8.3
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8.5,6.5,6.75,7.5,9,7.5,8,7.75,8.25,7.5
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"pc","Performance / Execution",NA,NA,NA,1,9,8.5,8.75,7.75,9.5,8.5,8.75,8.25,8.5,8.55
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"pc","Choreography / Composition",NA,NA,NA,1,8.75,7.75,8.5,8,9.5,7.75,9,8.5,8.5,8.3
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,NA,"pc","Interpretation",NA,NA,NA,1,9,8.5,9.5,8,9.75,8.25,9.25,8.5,8.75,8.7
"3,","TAKAHASHI Daisuke","JPN",17,90.25,48.9,41.35,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","3A",8.2,0,1.6,NA,2,0,0,2,1,2,2,2,2,9.8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","3Lz+3T",10,0,0.6,NA,1,0,0,1,0,1,1,-1,1,10.6
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","3F",5.5,0,1.6,NA,2,1,1,2,2,1,1,2,3,7.1
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","CiSt3",3.3,0,0.5,NA,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,3.8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","FSSp4",3,0,0.2,NA,0.5,0,0,0.5,0.5,0.5,0.5,0,0,3.2
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","SlSt3",3.3,0,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,3.8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","CCoSp4",3.5,0,0.6,NA,1,0.5,0.5,1,0,1,0.5,0,0.5,4.1
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"ee","CSSp4",3,0,0.6,NA,0.5,0.5,0.5,1.5,0.5,0.5,0,0.5,1,3.6
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"pc","Skating Skills",NA,NA,NA,1,8,8,8,8,7.75,8.25,8.5,8,8,8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,7.5,8,7.5,7.25,7.5,8,8,5.5,5,7.15
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"pc","Performance / Execution",NA,NA,NA,1,7.75,8.25,8.25,7.75,7.75,8.5,8.5,7.75,8,8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"pc","Choreography / Composition",NA,NA,NA,1,7.75,8,8,8,7.5,8.75,8.5,7.25,6.75,7.8
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,NA,"pc","Interpretation",NA,NA,NA,1,7.75,8.25,8,7.5,7.75,8.5,8.25,8,6.25,7.9
"4,","ODA Nobunari","JPN",20,84.85,46,38.85,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","2A",3.5,0,1.2,NA,1,1,1,1,2,2,1,3,1,4.7
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","4T+2T",11.1,0,-1.92,NA,-1.6,-3.2,-1.6,-3.2,-1.6,-3.2,-1.6,-3.2,-1.6,9.18
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","3F",5.5,0,0.2,NA,0,0,0,1,0,1,0,0,1,5.7
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","CiSt3",3.3,0,0.7,NA,0.5,0.5,0.5,1,1,0.5,1,1.5,1,4
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","CSSp4",3,0,1.2,NA,1,0.5,1.5,1,1.5,1,1.5,1,1,4.2
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","SlSt3",3.3,0,1.4,NA,1,0.5,1.5,1.5,1.5,1.5,1.5,1,1.5,4.7
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","FSSp4",3,0,1.1,NA,1,1,1,1.5,1.5,1,1,1,1.5,4.1
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"ee","CCoSp4",3.5,0,1.4,NA,1.5,1,1.5,1.5,1.5,1.5,1,1.5,1.5,4.9
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"pc","Skating Skills",NA,NA,NA,1,8.5,8.25,8.75,8.5,8.25,8,8.75,9,8.75,8.5
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8.25,8.25,8.75,8.25,7.75,8,8.75,8.75,7.75,8.2
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"pc","Performance / Execution",NA,NA,NA,1,8.5,8.5,8.75,8.5,8.5,8.5,9,9.25,9.25,8.65
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"pc","Choreography / Composition",NA,NA,NA,1,9.5,8.75,8.5,8.5,8.25,8.5,9,9.5,8.5,8.65
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,NA,"pc","Interpretation",NA,NA,NA,1,9.5,8.75,9.5,8.75,9.25,8.75,9,9.5,9.25,9.15
"5,","LAMBIEL Stephane","SUI",19,84.63,41.48,43.15,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","3Lz+3T",10,0,0.8,NA,1,1,1,1,0,1,1,0,0,10.8
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","3A",8.2,0,1.4,NA,2,2,2,1,0,2,2,0,1,9.6
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","3F",5.5,0,-2,NA,-1,-2,-2,-3,-2,-2,-2,-2,-2,3.5
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","CSSp4",3,0,0.2,NA,0,0.5,0.5,0,0,0.5,1,0,0.5,3.2
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","CiSt3",3.3,0,0.6,NA,0.5,0.5,1,0.5,0.5,1,1.5,0.5,0.5,3.9
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","FSSp4",3,0,0.8,NA,0.5,1,1,0.5,1,0.5,1.5,0.5,0.5,3.8
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","SlSt3",3.3,0,0.9,NA,0.5,1,1,1,1,1,1.5,0.5,1,4.2
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"ee","CCoSp3",3,0,0.9,NA,1,1,1,0.5,1,0.5,1.5,0.5,1,3.9
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"pc","Skating Skills",NA,NA,NA,1,8,7.75,7.75,7.75,8.25,8,8.75,7.75,7.5,7.9
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8,6.75,7.5,5.5,7.75,7.5,7.75,7.5,7.5,7.45
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"pc","Performance / Execution",NA,NA,NA,1,7.75,7.5,7.75,7.5,8.5,8.25,8.5,8,7.75,7.9
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"pc","Choreography / Composition",NA,NA,NA,1,8,7.5,7.75,7.5,8.5,8.5,8,7.75,7.75,7.8
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,NA,"pc","Interpretation",NA,NA,NA,1,8.25,8,7.75,7.75,8.75,8.5,9,8,7.75,8.15
"6,","WEIR Johnny","USA",25,82.1,42.9,39.2,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","3A",8.2,0,-2.52,NA,-2.8,-1.4,-2.8,-2.8,-2.8,0,-2.8,0,-2.8,5.68
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","3F+3T",9.5,0,1.6,NA,0,1,2,1,2,2,2,1,2,11.1
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","3Lz",6,0,0.6,NA,0,0,1,0,2,2,1,1,1,6.6
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","CiSt4",3.9,0,1.4,NA,1,2,2,1,3,1,1,2,3,5.3
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","CSSp4",3,0,0.7,NA,0.5,0.5,1,0.5,1,1,0.5,1,1,3.7
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","FSSp4",3,0,0.5,NA,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,3.5
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","SlSt3",3.3,0,0,NA,0,0,0,0,0.5,0,0,0.5,0,3.3
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"ee","CCoSp1",2,0,0.24,NA,0.5,-0.3,0,0.5,1,-0.3,0.5,0.5,0.5,2.24
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"pc","Skating Skills",NA,NA,NA,1,8.25,8.75,8,7.5,8.75,9.25,8,8,8.5,8.3
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8,8.75,7.25,7,9,8.5,7.25,7.75,8.25,7.85
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"pc","Performance / Execution",NA,NA,NA,1,8,8.75,7.25,7.5,9,8.25,8.25,7.75,8,8
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"pc","Choreography / Composition",NA,NA,NA,1,8.25,8.75,8,7.75,9.5,8.5,8,7.75,8.5,8.25
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,NA,"pc","Interpretation",NA,NA,NA,1,8,8.75,7.75,8,9.25,9,8.25,8,8.5,8.3
"7,","CHAN Patrick","CAN",24,81.12,41.42,40.7,-1,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","3Lz+3T",10,0,1.2,NA,1,3,1,1,2,1,2,1,1,11.2
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","3A",8.2,0,-1.96,NA,-1.4,-1.4,-1.4,-1.4,-2.8,-1.4,-2.8,-2.8,-1.4,6.24
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","CSSp4",3,0,0.5,NA,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0.5,3.5
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","3F",5.5,0,-0.2,NA,-1,1,-2,-1,1,0,0,0,1,5.3
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","SeSt3",3.3,0,0.5,NA,0.5,1.5,0,0.5,0.5,0.5,0.5,0.5,1,3.8
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","FSSp4",3,0,0.6,NA,0.5,0.5,0,1,1,0.5,0.5,0.5,0.5,3.6
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","SlSt3",3.3,0,0.5,NA,0.5,1.5,0.5,0.5,1,0.5,0.5,0,0.5,3.8
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"ee","CCoSp4",3.5,0,1.2,NA,1.5,1.5,0.5,1,1.5,1,1.5,1,1,4.7
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"pc","Skating Skills",NA,NA,NA,1,7.75,8.25,6.75,8.5,7,7.75,8,7.75,7.5,7.6
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,7.5,8.25,6,8,6.5,7.5,7.25,7.75,7.25,7.25
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"pc","Performance / Execution",NA,NA,NA,1,8.25,8.75,6.5,8,7.25,7.75,7.5,7.75,7.25,7.55
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"pc","Choreography / Composition",NA,NA,NA,1,8,8.75,5.75,8,7,7.5,8.25,7.5,7.5,7.6
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,NA,"pc","Interpretation",NA,NA,NA,1,8.25,8.5,6.5,7.5,7.25,7.75,7.25,7.75,7.5,7.45
"8,","KOZUKA Takahiko","JPN",22,79.59,42.14,37.45,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","3A",8.2,0,1.2,NA,1,0,2,1,2,1,1,1,2,9.4
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","3Lz",6,0,1,NA,1,1,1,2,1,0,2,1,2,7
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","3F+3T",9.5,0,1,NA,0,1,1,1,1,1,2,2,2,10.5
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","CSSp3",2.6,0,0,NA,0.5,0,0,0,0,0,0.5,0,0,2.6
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","SlSt3",3.3,0,0.5,NA,1,0,0.5,0.5,0.5,0.5,1,0.5,0.5,3.8
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","FSSp2",2.3,0,0.1,NA,0.5,0,0,0.5,0,0,0,0,1,2.4
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","CiSt3",3.3,0,0.3,NA,1,0.5,0.5,0,0,0,0.5,0.5,0.5,3.6
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"ee","CCoSp3",3,0,0.2,NA,0.5,0,0,0.5,0,0,0,0.5,0,3.2
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"pc","Skating Skills",NA,NA,NA,1,8.25,7.25,7,7,7.25,7.75,7.5,7.5,7.75,7.35
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,1,8,7,6.5,6.75,7,7.5,7.25,6.75,7,7
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"pc","Performance / Execution",NA,NA,NA,1,8.5,7,7,7.25,5.75,8,7.5,7.5,8,7.35
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"pc","Choreography / Composition",NA,NA,NA,1,8.75,7.25,6.75,7,7.5,7.75,7.5,7,7.75,7.3
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,NA,"pc","Interpretation",NA,NA,NA,1,9,7,7,7,6.75,7.75,7.75,7.75,7.5,7.3
"9,","BREZINA Michal","CZE",30,78.8,42.5,36.3,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
