"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","2A+2A+SEQ",5.6,0,1.6,NA,"2","2","2","1","1","1","2","2","1",7.2
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","3T",4,0,1,NA,"1","1","1","1","1","1","1","2","1",5
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","5ALi4",6.5,0,1.6,NA,"2","1","2","1","1","1","2","2","2",8.1
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","SpSq4",3.4,0,1.8,NA,"2","2","2","1","1","1","2","2","2",5.2
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","FCCoSp3",3,0,0.5,NA,"0.5","1","1","0","0.5","0.5","0.5","0.5","0.5",3.5
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","3LzTw1",5.5,1,1.52,NA,"1.4","2","1.4","1.4","1.4","1.4","1.4","2","1.4",7.02
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","PCoSp4",4.5,0,0.8,NA,"1","1","1","0.5","0.5","0.5","1","1","0.5",5.3
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","3STh",4.95,1,1.52,NA,"1.4","2","2","1.4","1.4","1.4","2","1.4","1.4",6.47
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","3LoTh",5.5,1,1.52,NA,"2","2","2","1.4","1.4","1.4","0.7","1.4","1.4",7.02
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","BoDs1",3,0,0.42,NA,"0.7","0.7","0","0","0.7","0.7","0","0.7","0",3.42
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","5TLi4",6.6,1,0.6,NA,"1","0.5","0.5","0.5","0.5","0.5","0.5","1","0.5",7.2
1,"PANG Qing / TONG Jian","CHN",19,141.81,70.53,71.28,NA,"ee","4Li4",4.4,1,0.7,NA,"1","0.5","1","1","1","0.5","0.5","1.5","0.5",5.1
