competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
owg2022,2122,1,men,individual,1,brambati claudia,ISU
owg2022,2122,1,men,individual,2,fang dan,ISU
owg2022,2122,1,men,individual,3,kantor anna,ISU
owg2022,2122,1,men,individual,4,kubota masako,ISU
owg2022,2122,1,men,individual,5,leroy anthony,ISU
owg2022,2122,1,men,individual,6,lee jung sue,ISU
owg2022,2122,1,men,individual,7,serova ekaterina,ISU
owg2022,2122,1,men,individual,8,nordback asa,ISU
owg2022,2122,1,men,individual,9,benson cynthia,ISU
owg2022,2122,0,men,individual,1,fang dan,ISU
owg2022,2122,0,men,individual,2,serova ekaterina,ISU
owg2022,2122,0,men,individual,3,kubota masako,ISU
owg2022,2122,0,men,individual,4,martinez sasha,ISU
owg2022,2122,0,men,individual,5,misurec miroslav,ISU
owg2022,2122,0,men,individual,6,kantor anna,ISU
owg2022,2122,0,men,individual,7,nordback asa,ISU
owg2022,2122,0,men,individual,8,kulik zanna,ISU
owg2022,2122,0,men,individual,9,brambati claudia,ISU
owg2022,2122,1,women,individual,1,houghton patricia,ISU
owg2022,2122,1,women,individual,2,bakker ernestien,ISU
owg2022,2122,1,women,individual,3,wang yu,ISU
owg2022,2122,1,women,individual,4,just bernhard,ISU
owg2022,2122,1,women,individual,5,hunter janice,ISU
owg2022,2122,1,women,individual,6,lundgren kristina,ISU
owg2022,2122,1,women,individual,7,smidova stanislava,ISU
owg2022,2122,1,women,individual,8,zvirik kadi,ISU
owg2022,2122,1,women,individual,9,ahn na young,ISU
owg2022,2122,0,women,individual,1,fomina elena,ISU
owg2022,2122,0,women,individual,2,bakker ernestien,ISU
owg2022,2122,0,women,individual,3,kliushnikov yury,ISU
owg2022,2122,0,women,individual,4,wang yu,ISU
owg2022,2122,0,women,individual,5,lundgren kristina,ISU
owg2022,2122,0,women,individual,6,houghton patricia,ISU
owg2022,2122,0,women,individual,7,just bernhard,ISU
owg2022,2122,0,women,individual,8,zvirik kadi,ISU
owg2022,2122,0,women,individual,9,hunter janice,ISU
owg2022,2122,1,pairs,individual,1,rist anja,ISU
owg2022,2122,1,pairs,individual,2,kantor anna,ISU
owg2022,2122,1,pairs,individual,3,kozhemyakina olga,ISU
owg2022,2122,1,pairs,individual,4,derby andrea,ISU
owg2022,2122,1,pairs,individual,5,binder elisabeth,ISU
owg2022,2122,1,pairs,individual,6,vikarne-homolya zsuzsanna,ISU
owg2022,2122,1,pairs,individual,7,maeda mami,ISU
owg2022,2122,1,pairs,individual,8,serova ekaterina,ISU
owg2022,2122,1,pairs,individual,9,buttarelli marco,ISU
owg2022,2122,0,pairs,individual,1,kantor anna,ISU
owg2022,2122,0,pairs,individual,2,derby andrea,ISU
owg2022,2122,0,pairs,individual,3,serova ekaterina,ISU
owg2022,2122,0,pairs,individual,4,maeda mami,ISU
owg2022,2122,0,pairs,individual,5,binder elisabeth,ISU
owg2022,2122,0,pairs,individual,6,wang yumin,ISU
owg2022,2122,0,pairs,individual,7,graham peggy,ISU
owg2022,2122,0,pairs,individual,8,prins jeroen,ISU
owg2022,2122,0,pairs,individual,9,olozagarre marta,ISU
owg2022,2122,0,,individual,1,munoz david,ISU
owg2022,2122,0,,individual,2,leblanc-richard nicole,ISU
owg2022,2122,0,,individual,3,mast jennifer,ISU
owg2022,2122,0,,individual,4,yang fan,ISU
owg2022,2122,0,,individual,5,stahnke claudia,ISU
owg2022,2122,0,,individual,6,sobkow malgorzata,ISU
owg2022,2122,0,,individual,7,krauziene laimute,ISU
owg2022,2122,0,,individual,8,andreeva julia,ISU
owg2022,2122,0,,individual,9,russell nicholas,ISU
owg2022,2122,0,,individual,1,cesaro michela,ISU
owg2022,2122,0,,individual,2,molina david,ISU
owg2022,2122,0,,individual,3,sobkow malgorzata,ISU
owg2022,2122,0,,individual,4,makarova anastassiya,ISU
owg2022,2122,0,,individual,5,leblanc-richard nicole,ISU
owg2022,2122,0,,individual,6,stahnke claudia,ISU
owg2022,2122,0,,individual,7,yang fan,ISU
owg2022,2122,0,,individual,8,mast jennifer,ISU
owg2022,2122,0,,individual,9,munoz david,ISU
owg2022,2122,1,men,team,1,binder elisabeth,ISU
owg2022,2122,1,men,team,2,kliushnikov yury,ISU
owg2022,2122,1,men,team,3,wang yumin,ISU
owg2022,2122,1,men,team,4,lee jung sue,ISU
owg2022,2122,1,men,team,5,kantor anna,ISU
owg2022,2122,1,men,team,6,kulik zanna,ISU
owg2022,2122,1,men,team,7,leblanc-richard nicole,ISU
owg2022,2122,1,men,team,8,kubota masako,ISU
owg2022,2122,1,men,team,9,vikarne-homolya zsuzsanna,ISU
owg2022,2122,0,men,team,1,kubota masako,ISU
owg2022,2122,0,men,team,2,leblanc-richard nicole,ISU
owg2022,2122,0,men,team,3,wang yumin,ISU
owg2022,2122,0,men,team,4,lee jung sue,ISU
owg2022,2122,0,men,team,5,vikarne-homolya zsuzsanna,ISU
owg2022,2122,0,men,team,6,kulik zanna,ISU
owg2022,2122,0,men,team,7,kliushnikov yury,ISU
owg2022,2122,0,men,team,8,binder elisabeth,ISU
owg2022,2122,0,men,team,9,kantor anna,ISU
owg2022,2122,1,women,team,1,just bernhard,ISU
owg2022,2122,1,women,team,2,buttarelli marco,ISU
owg2022,2122,1,women,team,3,olozagarre marta,ISU
owg2022,2122,1,women,team,4,derby andrea,ISU
owg2022,2122,1,women,team,5,kliushnikov yury,ISU
owg2022,2122,1,women,team,6,ristanen tarja,ISU
owg2022,2122,1,women,team,7,prins jeroen,ISU
owg2022,2122,1,women,team,8,krauziene laimute,ISU
owg2022,2122,1,women,team,9,lundgren kristina,ISU
owg2022,2122,0,women,team,1,prins jeroen,ISU
owg2022,2122,0,women,team,2,buttarelli marco,ISU
owg2022,2122,0,women,team,3,lundgren kristina,ISU
owg2022,2122,0,women,team,4,just bernhard,ISU
owg2022,2122,0,women,team,5,olozagarre marta,ISU
owg2022,2122,0,women,team,6,derby andrea,ISU
owg2022,2122,0,women,team,7,kliushnikov yury,ISU
owg2022,2122,0,women,team,8,krauziene laimute,ISU
owg2022,2122,0,women,team,9,ristanen tarja,ISU
owg2022,2122,1,pairs,team,1,wang yumin,ISU
owg2022,2122,1,pairs,team,2,olozagarre marta,ISU
owg2022,2122,1,pairs,team,3,graham peggy,ISU
owg2022,2122,1,pairs,team,4,derby andrea,ISU
owg2022,2122,1,pairs,team,5,buttarelli marco,ISU
owg2022,2122,1,pairs,team,6,prins jeroen,ISU
owg2022,2122,1,pairs,team,7,binder elisabeth,ISU
owg2022,2122,1,pairs,team,8,vikarne-homolya zsuzsanna,ISU
owg2022,2122,1,pairs,team,9,kantor anna,ISU
owg2022,2122,0,pairs,team,1,olozagarre marta,ISU
owg2022,2122,0,pairs,team,2,buttarelli marco,ISU
owg2022,2122,0,pairs,team,3,prins jeroen,ISU
owg2022,2122,0,pairs,team,4,kantor anna,ISU
owg2022,2122,0,pairs,team,5,wang yumin,ISU
owg2022,2122,0,pairs,team,6,graham peggy,ISU
owg2022,2122,0,pairs,team,7,binder elisabeth,ISU
owg2022,2122,0,pairs,team,8,vikarne-homolya zsuzsanna,ISU
owg2022,2122,0,pairs,team,9,derby andrea,ISU
owg2022,2122,0,,team,1,molina david,ISU
owg2022,2122,0,,team,2,cesaro michela,ISU
owg2022,2122,0,,team,3,leblanc-richard nicole,ISU
owg2022,2122,0,,team,4,sobkow malgorzata,ISU
owg2022,2122,0,,team,5,krauziene laimute,ISU
owg2022,2122,0,,team,6,mast jennifer,ISU
owg2022,2122,0,,team,7,stahnke claudia,ISU
owg2022,2122,0,,team,8,munoz david,ISU
owg2022,2122,0,,team,9,andreeva julia,ISU
owg2022,2122,0,,team,1,mast jennifer,ISU
owg2022,2122,0,,team,2,molina david,ISU
owg2022,2122,0,,team,3,krauziene laimute,ISU
owg2022,2122,0,,team,4,cesaro michela,ISU
owg2022,2122,0,,team,5,leblanc-richard nicole,ISU
owg2022,2122,0,,team,6,stahnke claudia,ISU
owg2022,2122,0,,team,7,andreeva julia,ISU
owg2022,2122,0,,team,8,munoz david,ISU
owg2022,2122,0,,team,9,sobkow malgorzata,ISU
