rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,10.8,4T+2T,1.0,ec2025,0.0,,12.84,2.04,,1,,2425,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,9.5,4T,2.0,ec2025,0.0,,12.62,3.12,,1,,2425,5.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,14.6,3A+2A+2A+SEQ,3.0,ec2025,0.0,,16.89,2.29,,1,,2425,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,4.9,3Lo,4.0,ec2025,0.0,,6.02,1.12,,1,,2425,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,3.0,CCoSp3,5.0,ec2025,0.0,,3.9,0.9,,1,,2425,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,3.0,CSSp4,6.0,ec2025,0.0,,3.94,0.94,,1,,2425,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,8.8,3A,7.0,ec2025,1.0,,10.86,2.06,,1,,2425,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,11.11,3Lz+3T,8.0,ec2025,1.0,,12.04,0.93,,1,,2425,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,5.83,3F,9.0,ec2025,1.0,,4.85,-0.98,,1,,2425,-1.0,-1.0,-2.0,-2.0,-3.0,-1.0,0.0,-3.0,-3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,3.9,StSq4,10.0,ec2025,0.0,,5.24,1.34,,1,,2425,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,3.5,FCCoSp4,11.0,ec2025,0.0,,4.4,0.9,,1,,2425,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,3.0,ChSq1,12.0,ec2025,0.0,,4.71,1.71,,1,,2425,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,,,,ec2025,,3.33,8.54,,,0,Composition,2425,9.0,8.5,8.75,8.5,8.5,8.25,8.5,8.25,8.75,0,men,individual
1,Lukas Britschgi,SUI,17,184.19,98.31,85.88,0.0,,,,ec2025,,3.33,8.57,,,0,Skating Skills,2425,9.25,8.5,8.5,8.75,8.5,8.5,8.25,8.25,9.0,0,men,individual
2,Nikolaj Memola,ITA,20,177.69,97.41,80.28,0.0,15.7,4Lz!+3T,1.0,ec2025,0.0,,16.69,0.99,!,1,,2425,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0,men,individual
2,Nikolaj Memola,ITA,20,177.69,97.41,80.28,0.0,8.0,3A,2.0,ec2025,0.0,,10.4,2.4,,1,,2425,4.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,0,men,individual
