rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,11.5,4Lz,1.0,fc2020,0.0,,7.72,-3.78,,1,,1920,-1.0,-5.0,-3.0,-4.0,-3.0,-3.0,-2.0,-3.0,-5.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,9.7,4S,2.0,fc2020,0.0,,13.58,3.88,,1,,1920,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,8.0,3A,3.0,fc2020,0.0,,11.66,3.66,,1,,1920,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,5.3,3F!,4.0,fc2020,0.0,,6.21,0.91,!,1,,1920,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,3.5,FCCoSp4,5.0,fc2020,0.0,,4.3,0.8,,1,,1920,3.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,3.3,StSq3,6.0,fc2020,0.0,,4.62,1.32,,1,,1920,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,15.73,4T+1Eu+3S,7.0,fc2020,1.0,,14.78,-0.95,,1,,1920,0.0,-1.0,-3.0,-2.0,2.0,-1.0,-1.0,-1.0,-1.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,8.36,4T<,8.0,fc2020,1.0,,4.56,-3.8,<,1,,1920,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,13.42,3A+3T,9.0,fc2020,1.0,,16.16,2.74,,1,,1920,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,3.0,FCSSp4,10.0,fc2020,0.0,,3.99,0.99,,1,,1920,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,3.0,ChSq1,11.0,fc2020,0.0,,5.29,2.29,,1,,1920,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,3.5,CCoSp4,12.0,fc2020,0.0,,4.45,0.95,,1,,1920,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,,,,fc2020,,2.0,9.32,,,0,Composition,1920,9.25,9.5,9.75,9.25,9.0,9.25,9.25,9.5,9.25,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,,,,fc2020,,2.0,8.93,,,0,Interpretation of the Music,1920,8.75,9.25,9.5,8.75,8.75,8.75,8.75,9.75,8.75,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,,,,fc2020,,2.0,8.89,,,0,Performance,1920,8.75,9.5,9.25,8.5,8.75,8.75,8.75,9.25,8.75,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,,,,fc2020,,2.0,9.29,,,0,Skating Skills,1920,9.25,9.5,9.25,9.25,9.25,9.25,9.25,9.5,9.25,0,men,individual
1,Yuzuru Hanyu,JPN,22,187.6,97.32,91.28,-1.0,,,,fc2020,,2.0,9.21,,,0,Transitions,1920,9.25,9.25,9.5,9.25,8.75,9.25,9.25,9.25,9.0,0,men,individual
2,Jason Brown,USA,24,180.11,87.53,92.58,0.0,9.3,3A+2T,1.0,fc2020,0.0,,11.13,1.83,,1,,1920,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0,men,individual
