rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,8.0,4T<,1.0,gpcan2017,0.0,,4.0,-4.0,<,1,,1718,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,5.1,3Lo,2.0,gpcan2017,0.0,,4.6,-0.5,,1,,1718,-2.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,8.5,3A,3.0,gpcan2017,0.0,,10.5,2.0,,1,,1718,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,3.2,FCSp4,4.0,gpcan2017,0.0,,4.06,0.86,,1,,1718,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,2.5,FCCoSp3V,5.0,gpcan2017,0.0,,3.07,0.57,,1,,1718,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,3.3,StSq3,6.0,gpcan2017,0.0,,4.37,1.07,,1,,1718,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,13.53,4F,7.0,gpcan2017,1.0,,11.3,-2.23,,1,,1718,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,8.8,4T<,8.0,gpcan2017,1.0,,4.8,-4.0,<,1,,1718,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,12.76,4T+2T,9.0,gpcan2017,1.0,,13.47,0.71,,1,,1718,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,15.73,3A+1Lo+3F,10.0,gpcan2017,1.0,,17.73,2.0,,1,,1718,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,9.57,3S+3T,11.0,gpcan2017,1.0,,10.37,0.8,,1,,1718,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,2.0,ChSq1,12.0,gpcan2017,0.0,,3.2,1.2,,1,,1718,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,3.5,CCoSp4,13.0,gpcan2017,0.0,,4.71,1.21,,1,,1718,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,,,,gpcan2017,,2.0,9.11,,,0,Composition,1718,9.0,9.25,9.0,9.25,8.5,9.0,9.25,9.0,9.25,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,,,,gpcan2017,,2.0,9.25,,,0,Interpretation of the Music,1718,9.5,9.25,9.0,9.5,9.0,9.25,9.25,9.25,9.25,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,,,,gpcan2017,,2.0,9.04,,,0,Performance,1718,9.25,9.25,9.25,9.0,8.25,8.75,9.5,9.0,8.75,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,,,,gpcan2017,,2.0,9.29,,,0,Skating Skills,1718,9.5,9.5,9.0,9.5,9.0,9.0,9.5,9.5,8.75,0,men,individual
1,Shoma Uno,JPN,10,197.48,106.32,91.16,0.0,,,,gpcan2017,,2.0,8.89,,,0,Transitions,1718,8.75,9.0,9.0,9.5,8.5,9.0,9.0,9.0,8.5,0,men,individual
2,Jason Brown,USA,12,170.43,80.77,90.66,1.0,13.6,4Lz,1.0,gpcan2017,0.0,,15.6,2.0,,1,,1718,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
