rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,6.2,3Tw3,1.0,gpfra2017,0.0,,7.2,1.0,,1,,1718,2.0,3.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,4.3,3T,2.0,gpfra2017,0.0,,5.4,1.1,,1,,1718,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,5.0,3LoTh,3.0,gpfra2017,0.0,,6.9,1.9,,1,,1718,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,3.5,FiDs4,4.0,gpfra2017,0.0,,4.9,1.4,,1,,1718,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,4.5,PCoSp4,5.0,gpfra2017,0.0,,5.5,1.0,,1,,1718,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,4.5,3Li4,6.0,gpfra2017,0.0,,5.5,1.0,,1,,1718,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,3.9,StSq4,7.0,gpfra2017,0.0,,5.0,1.1,,1,,1718,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,,,,gpfra2017,,0.8,9.29,,,0,Composition,1718,9.75,9.5,8.75,9.0,9.0,9.75,8.25,9.5,9.5,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,,,,gpfra2017,,0.8,9.14,,,0,Interpretation of the Music,1718,9.5,9.25,8.75,9.0,9.0,9.5,8.0,9.25,9.25,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,,,,gpfra2017,,0.8,9.43,,,0,Performance,1718,9.75,9.75,9.0,9.25,9.5,9.5,8.5,9.5,9.5,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,,,,gpfra2017,,0.8,9.32,,,0,Skating Skills,1718,9.5,9.25,9.0,9.25,9.5,9.5,8.5,9.5,9.25,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,77.84,41.9,36.94,1.0,,,,gpfra2017,,0.8,9.0,,,0,Transitions,1718,9.25,8.75,8.5,9.0,9.0,9.5,8.0,9.25,9.25,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,4.4,3S,1.0,gpfra2017,0.0,,5.3,0.9,,1,,1718,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,4.4,3S,2.0,gpfra2017,0.0,,5.6,1.2,,1,,1718,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,4.5,3Li4,3.0,gpfra2017,0.0,,5.64,1.14,,1,,1718,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,5.5,3LzTh,4.0,gpfra2017,0.0,,5.7,0.2,,1,,1718,1.0,1.0,0.0,2.0,0.0,-2.0,-1.0,1.0,0.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,3.2,FiDs3,5.0,gpfra2017,0.0,,4.1,0.9,,1,,1718,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,3.9,StSq4,6.0,gpfra2017,0.0,,5.3,1.4,,1,,1718,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,4.0,PCoSp3,7.0,gpfra2017,0.0,,4.93,0.93,,1,,1718,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,,,,gpfra2017,,0.8,8.75,,,0,Composition,1718,9.5,9.5,8.5,9.25,8.25,8.5,7.5,8.5,8.75,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,,,,gpfra2017,,0.8,8.64,,,0,Interpretation of the Music,1718,9.5,9.0,8.5,9.25,8.25,8.25,8.0,8.5,8.75,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,,,,gpfra2017,,0.8,8.86,,,0,Performance,1718,9.5,9.25,8.75,9.25,8.75,8.5,7.5,8.75,8.75,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,,,,gpfra2017,,0.8,8.64,,,0,Skating Skills,1718,9.25,9.0,8.5,9.0,8.25,8.5,7.5,8.75,8.5,1,pairs,individual
2,Vanessa James / Morgan Cipres,FRA,7,73.18,38.47,34.71,0.0,,,,gpfra2017,,0.8,8.5,,,0,Transitions,1718,9.25,8.75,8.25,9.0,8.5,8.0,8.0,8.5,8.5,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,6.2,3Tw3,1.0,gpfra2017,0.0,,7.3,1.1,,1,,1718,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,6.2,3Tw3,2.0,gpfra2017,0.0,,7.1,0.9,,1,,1718,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,5.0,3LoTh,3.0,gpfra2017,0.0,,5.6,0.6,,1,,1718,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,4.5,3Li4,4.0,gpfra2017,0.0,,5.57,1.07,,1,,1718,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,3.5,FiDs4,5.0,gpfra2017,0.0,,4.6,1.1,,1,,1718,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,3.9,StSq4,6.0,gpfra2017,0.0,,4.9,1.0,,1,,1718,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,4.5,PCoSp4,7.0,gpfra2017,0.0,,5.43,0.93,,1,,1718,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,,,,gpfra2017,,0.8,8.11,,,0,Composition,1718,8.75,8.0,8.0,8.25,7.5,8.5,7.5,8.25,8.25,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,,,,gpfra2017,,0.8,8.11,,,0,Interpretation of the Music,1718,9.0,7.5,8.0,8.25,7.75,8.5,8.0,8.0,8.25,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,,,,gpfra2017,,0.8,8.14,,,0,Performance,1718,8.75,8.0,8.25,8.0,7.75,8.5,7.75,8.25,8.25,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,,,,gpfra2017,,0.8,8.0,,,0,Skating Skills,1718,8.5,7.25,7.75,8.25,7.75,8.5,7.5,8.0,8.25,1,pairs,individual
3,Nicole Della Monica / Matteo Guarise,ITA,5,70.65,38.5,32.15,0.0,,,,gpfra2017,,0.8,7.82,,,0,Transitions,1718,8.75,7.5,7.75,7.75,7.5,8.25,7.5,8.0,8.0,1,pairs,individual
4,Liubov Ilyushechkina / Dylan Moscovitch,CAN,6,66.36,34.99,31.37,0.0,1.3,2T,1.0,gpfra2017,0.0,,0.9,-0.4,,1,,1718,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,-2.0,-2.0,-2.0,1,pairs,individual
4,Liubov Ilyushechkina / Dylan Moscovitch,CAN,6,66.36,34.99,31.37,0.0,4.3,3T,2.0,gpfra2017,0.0,,2.9,-1.4,,1,,1718,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-3.0,-2.0,1,pairs,individual
4,Liubov Ilyushechkina / Dylan Moscovitch,CAN,6,66.36,34.99,31.37,0.0,5.5,3LzTh,3.0,gpfra2017,0.0,,4.8,-0.7,,1,,1718,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1,pairs,individual
4,Liubov Ilyushechkina / Dylan Moscovitch,CAN,6,66.36,34.99,31.37,0.0,3.5,FiDs4,4.0,gpfra2017,0.0,,4.8,1.3,,1,,1718,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,pairs,individual
4,Liubov Ilyushechkina / Dylan Moscovitch,CAN,6,66.36,34.99,31.37,0.0,4.5,PCoSp4,5.0,gpfra2017,0.0,,4.93,0.43,,1,,1718,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,pairs,individual
