rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,18.2,3A+1Eu+4S,1.0,gpusa2025,0.0,,21.25,3.05,,1,,2526,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,11.5,4Lz,2.0,gpusa2025,0.0,,14.29,2.79,,1,,2526,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,2.8,FCSp3,4.0,gpusa2025,0.0,,3.08,0.28,,1,,2526,1.0,1.0,1.0,-1.0,0.0,1.0,2.0,2.0,1.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,3.0,ChSq1,5.0,gpusa2025,0.0,,3.43,0.43,,1,,2526,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,5.3,3F!,6.0,gpusa2025,0.0,,5.22,-0.08,!,1,,2526,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,3.5,CCoSp4,7.0,gpusa2025,0.0,,3.7,0.2,,1,,2526,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,10.12,3Lz+2A+SEQ,9.0,gpusa2025,1.0,,10.88,0.76,,1,,2526,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,11.88,4Tq+2T,10.0,gpusa2025,1.0,,9.3,-2.58,q,1,,2526,-3.0,-3.0,-3.0,-4.0,-2.0,-3.0,-3.0,-2.0,-2.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,2.6,StSq2,11.0,gpusa2025,0.0,,3.05,0.45,,1,,2526,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,3.0,CSSp4,12.0,gpusa2025,0.0,,3.34,0.34,,1,,2526,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,,,,gpusa2025,,3.33,7.71,,,0,Composition,2526,7.75,8.0,7.75,6.75,7.75,7.75,7.75,7.25,8.25,0,men,individual
1,Mikhail Shaidorov,KAZ,10,161.42,86.5,76.92,-2.0,,,,gpusa2025,,3.33,7.82,,,0,Skating Skills,2526,7.75,7.75,7.75,7.0,8.25,7.75,8.0,7.75,8.0,0,men,individual
