competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
owg2018,1718,1,men,individual,1,DELFA Daniel,ESP
owg2018,1718,1,men,individual,2,ABELE Agita,LAT
owg2018,1718,1,men,individual,3,MERIGUET Philippe,FRA
owg2018,1718,1,men,individual,4,NUMANOVA Saodat,UZB
owg2018,1718,1,men,individual,5,Sakae YAMAMOTO,JPN
owg2018,1718,1,men,individual,6,KOZHEMYAKINA Olga,RUS
owg2018,1718,1,men,individual,7,Elizabeth RYAN,AUS
owg2018,1718,1,men,individual,8,HUNTER Janice,CAN
owg2018,1718,1,men,individual,9,CHEN Weiguang,CHN
owg2018,1718,0,men,individual,1,guskov yuriy,KAZ
owg2018,1718,0,men,individual,2,Lorrie PARKER,USA
owg2018,1718,0,men,individual,3,NUMANOVA Saodat,UZB
owg2018,1718,0,men,individual,4,Sakae YAMAMOTO,JPN
owg2018,1718,0,men,individual,5,Albert ZAYDMAN,ISR
owg2018,1718,0,men,individual,6,KOZHEMYAKINA Olga,RUS
owg2018,1718,0,men,individual,7,CHEN Weiguang,CHN
owg2018,1718,0,men,individual,8,KOSINA Richard,CZE
owg2018,1718,0,men,individual,9,ABELE Agita,LAT
owg2018,1718,1,women,individual,1,Kvetoslava MATEJOVA,SVK
owg2018,1718,1,women,individual,2,balczo katalin,HUN
owg2018,1718,1,women,individual,3,DECK Deveny,USA
owg2018,1718,1,women,individual,4,Ayumi KOZUKA,JPN
owg2018,1718,1,women,individual,5,KOH Sung-Hee,KOR
owg2018,1718,1,women,individual,6,Hailan JIANG,CHN
owg2018,1718,1,women,individual,7,Elena FOMINA,RUS
owg2018,1718,1,women,individual,8,guskov yuriy,KAZ
owg2018,1718,1,women,individual,9,ABELE Agita,LAT
owg2018,1718,0,women,individual,1,LEBLANC-RICHARD Nicole,CAN
owg2018,1718,0,women,individual,2,ABELE Agita,LAT
owg2018,1718,0,women,individual,3,KOH Sung-Hee,KOR
owg2018,1718,0,women,individual,4,Elena FOMINA,RUS
owg2018,1718,0,women,individual,5,Hailan JIANG,CHN
owg2018,1718,0,women,individual,6,Elisabeth LOUESDON,FRA
owg2018,1718,0,women,individual,7,DE Francoise RAPPARD,BEL
owg2018,1718,0,women,individual,8,DECK Deveny,USA
owg2018,1718,0,women,individual,9,KIMMINUS Kerstin,GER
owg2018,1718,1,pairs,individual,1,Deborah NOYES,AUS
owg2018,1718,1,pairs,individual,2,Feng HUANG,CHN
owg2018,1718,1,pairs,individual,3,Anthony LEROY,FRA
owg2018,1718,1,pairs,individual,4,Anna KANTOR,ISR
owg2018,1718,1,pairs,individual,5,Jeff LUKASIK,CAN
owg2018,1718,1,pairs,individual,6,VIKARNE-HOMOLYA Zsuzsanna,HUN
owg2018,1718,1,pairs,individual,7,Elke TREITZ,GER
owg2018,1718,1,pairs,individual,8,TOIGO Walter,ITA
owg2018,1718,1,pairs,individual,9,LESKINEN Pekka,FIN
owg2018,1718,0,pairs,individual,1,LESKINEN Pekka,FIN
owg2018,1718,0,pairs,individual,2,Elena FOMINA,RUS
owg2018,1718,0,pairs,individual,3,Feng HUANG,CHN
owg2018,1718,0,pairs,individual,4,Anthony LEROY,FRA
owg2018,1718,0,pairs,individual,5,CAMPBELL K. Tamie,USA
owg2018,1718,0,pairs,individual,6,BAUDYSOVA Jana,CZE
owg2018,1718,0,pairs,individual,7,VIKARNE-HOMOLYA Zsuzsanna,HUN
owg2018,1718,0,pairs,individual,8,Deborah NOYES,AUS
owg2018,1718,0,pairs,individual,9,BIEGLER Thomas,AUT
owg2018,1718,1,men,team,1,Albert ZAYDMAN,ISR
owg2018,1718,1,men,team,2,Lorrie PARKER,USA
owg2018,1718,1,men,team,3,VIKARNE-HOMOLYA Zsuzsanna,HUN
owg2018,1718,1,men,team,4,ABELE Agita,LAT
