"Country","Name","iso3c"
"Andorra","Aret BORONAT","AND"
"Andorra","Melisandra FUENTES","AND"
"Andorra","Mònica LÓPEZ","AND"
"Armenia","Irina ABSALIAMOVA","ARM"
"Armenia","Marina BARSEGHYAN","ARM"
"Armenia","Emil DANIELYAN","ARM"
"Armenia","Anush ELOYAN","ARM"
"Armenia","Gayane KHACHATRYAN","ARM"
"Armenia","Inessa VARDAN","ARM"
"Armenia","Asmik VARDANYAN","ARM"
"Armenia","Vladislav VLADIMIROV","ARM"
"Armenia","Aram VLASYAN","ARM"
"Australia","Deb ABBOTT","AUS"
"Australia","Sean ABRAM","AUS"
"Australia","Anne ALDER","AUS"
"Australia","Elizabeth ALEXANDRE","AUS"
"Australia","Rebecca ANDREW","AUS"
"Australia","Kathy ANTHONY","AUS"
"Australia","Leigh ARMSTRONG","AUS"
"Australia","Chris ARONEY","AUS"
"Australia","Emelia ASH","AUS"
"Australia","Carole ASHWORTH","AUS"
"Australia","Jane ASHWORTH","AUS"
"Australia","Pavel AUBRECHT","AUS"
"Australia","Rhiann BALAAM","AUS"
"Australia","Ruzena BARANIKOVA","AUS"
"Australia","Leah BATES","AUS"
"Australia","Bob BATTERSBY","AUS"
"Australia","Helen BEALE","AUS"
"Australia","Alan BLINN","AUS"
"Australia","Janet BORN","AUS"
"Australia","Evgueni BOROUNOV","AUS"
"Australia","Maria BOROUNOV","AUS"
"Australia","Miranda BOURNE","AUS"
"Australia","Nadine BRAZIL","AUS"
"Australia","Jaye BRENNAN","AUS"
"Australia","Robyn BURLEY","AUS"
"Australia","Tricia BURNS","AUS"
"Australia","Elizabeth CAIN","AUS"
"Australia","Peter CAIN","AUS"
"Australia","Melanie CARRINGTON","AUS"
"Australia","Rachel CAUGHLY","AUS"
"Australia","Sharon CHARLTON","AUS"
"Australia","Angelique CLYDE-SMITH","AUS"
"Australia","Susan COBDEN","AUS"
"Australia","Elizabeth COHEN","AUS"
"Australia","Janine COLLIVER","AUS"
"Australia","Alex COOKE","AUS"
"Australia","Jackie CORNWELL","AUS"
"Australia","Brooke CRAWFORD","AUS"
"Australia","Jacqueline CUPPLES","AUS"
"Australia","Nicole DENHOLM","AUS"
"Australia","Elaine DEWEY","AUS"
"Australia","Megan DOBBIE","AUS"
"Australia","Andrew DODDS","AUS"
"Australia","Gail DODDS","AUS"
"Australia","Jordan DODDS","AUS"
"Australia","Gretchen DOOLAN","AUS"
"Australia","Karen DUKES","AUS"
"Australia","Alison EAGER","AUS"
"Australia","Anja FAUSTEIN","AUS"
"Australia","Heidi FEARNSIDE","AUS"
"Australia","Kylie FENNELL","AUS"
"Australia","Katherine FIRKIN","AUS"
"Australia","Alexandra FLACK","AUS"
"Australia","Alexandra FORD","AUS"
"Australia","Allie FORD","AUS"
"Australia","Geraldine FRATER","AUS"
"Australia","Heidi FREEMAN","AUS"
"Australia","Jan GARDNER","AUS"
"Australia","Janet GARDNER","AUS"
"Australia","Sharon GAYLARD","AUS"
"Australia","Jackie GOLD","AUS"
"Australia","Jonathan GUERREIRO","AUS"
"Australia","Svetlana GUERREIRO","AUS"
"Australia","Katrina HARBURN","AUS"
"Australia","Kayla HARBURN","AUS"
"Australia","Karen HARRIS","AUS"
"Australia","Rebecca HARRISON","AUS"
"Australia","Sharon HEDLEY","AUS"
"Australia","Elizabeth HENNINGSEN","AUS"
"Australia","Lauren HODGE","AUS"
"Australia","Donna HUANG","AUS"
"Australia","Paul HUEHNERGARD","AUS"
"Australia","Lisa JELINEK","AUS"
"Australia","Alisha JOHNSON","AUS"
"Australia","Anthony JONIKIS","AUS"
"Australia","Arvidas JONIKIS","AUS"
"Australia","Ilze JONIKIS","AUS"
"Australia","Jackie KADAR","AUS"
"Australia","Miranda KOFOED","AUS"
"Australia","Wendy LANGTON","AUS"
"Australia","Cherry LAU","AUS"
"Australia","Megan LAWS","AUS"
"Australia","Rhiannon LUO","AUS"
"Australia","Peter LYNCH","AUS"
"Australia","Susan LYNCH","AUS"
"Australia","Monica MACDONALD","AUS"
"Australia","Gisela MAUTNER","AUS"
"Australia","Susanne MAUTNER","AUS"
"Australia","Nicholas MCCARTHY","AUS"
"Australia","Cameron MEDHURST","AUS"
"Australia","Hayley MEERTEN","AUS"
"Australia","Sharon MELLEMA","AUS"
"Australia","Bernadette MERCURIO","AUS"
"Australia","Joanna MILLER","AUS"
"Australia","Meg MONTELEONE","AUS"
"Australia","Simone MOORE","AUS"
"Australia","Patricia MORITZ","AUS"
"Australia","Jennifer NEWTON","AUS"
"Australia","Robyn S. NOTT","AUS"
"Australia","Deborah NOYES","AUS"
"Australia","Tara O'CONNOR","AUS"
"Australia","Merryn O'KEEFE","AUS"
"Australia","Craig OAKLEY","AUS"
"Australia","Julie-Anne OATEN","AUS"
"Australia","Clarence ONG","AUS"
"Australia","Michael PASFIELD","AUS"
"Australia","Kylara PAULO","AUS"
"Australia","Derek PERKINS","AUS"
"Australia","Katherine Evelyn DU PREEZ","AUS"
"Australia","Samantha QUIMBY","AUS"
"Australia","Rachel RAMSAY","AUS"
"Australia","Peter RANKIN","AUS"
"Australia","Carmen REYNOLDS","AUS"
"Australia","Sarah RILEY","AUS"
"Australia","Alison RYAN","AUS"
"Australia","Elizabeth RYAN","AUS"
"Australia","Kristian RYAN","AUS"
"Australia","Jaye SAMSON","AUS"
"Australia","Duncan SAVAGE","AUS"
"Australia","Deanne SCERRI","AUS"
"Australia","Brendan SCHLOSS","AUS"
"Australia","Ann SHORT","AUS"
"Australia","Melina SIMJANOVIC","AUS"
"Australia","Nicole SIMJANOVIC","AUS"
"Australia","Mark STORTON","AUS"
"Australia","Ashley STUART","AUS"
"Australia","Sharon SULLIVAN","AUS"
"Australia","Richard SWENNING","AUS"
"Australia","Nicole SYMONS","AUS"
"Australia","Robyn SYMONS","AUS"
"Australia","Catherine L. TAYLOR","AUS"
"Australia","Natalie Jane TAYLOR","AUS"
"Australia","Karen THOMPSON","AUS"
"Australia","Jade WATTERS","AUS"
"Australia","Rebecca WELLS","AUS"
"Australia","Kim WILSON","AUS"
"Australia","Kylie Anne YACOPETTI","AUS"
"Australia","Nicole YEN","AUS"
"Australia","Deborah ZADOW","AUS"
"Australia","Stephanie ZHANG","AUS"
"Australia","Yolander ZOLLINGER","AUS"
"Austria","Yvonne ALLINGER","AUT"
"Austria","Elisabeth ANGERER","AUT"
"Austria","Thomas BIEGLER","AUT"
"Austria","Elisabeth BINDER","AUT"
"Austria","Elizabeth BINDER","AUT"
"Austria","Karin EHRHARDT","AUT"
"Austria","Werner EHRHARDT","AUT"
"Austria","Angelika ELLINGER","AUT"
"Austria","Kerstin FRANK","AUT"
"Austria","Monika FÜHRING","AUT"
"Austria","Georg GANNER","AUT"
"Austria","Stefan GRAMPELHUBER","AUT"
"Austria","Christa GUNSAM","AUT"
"Austria","Sonja HARAND","AUT"
"Austria","Christl HEIDLER","AUT"
"Austria","Claudia HOUDEK","AUT"
"Austria","Sophia HOUDEK","AUT"
"Austria","Mario Rafael IONIAN","AUT"
"Austria","Marion JÄGER","AUT"
"Austria","Bernhard JUST","AUT"
"Austria","Victoria KAFOL","AUT"
"Austria","Sophia KARBON","AUT"
"Austria","Gabriele KÄTZLER","AUT"
"Austria","Dagmar KOTNAUER","AUT"
"Austria","Sabrina KREUZER","AUT"
"Austria","Ursula LACHMANN","AUT"
"Austria","Pavel LAURENCIK","AUT"
"Austria","Walter LESCHETIZKY","AUT"
"Austria","Heide MARITCZAK","AUT"
"Austria","Eva MARTINEK","AUT"
"Austria","Christiane MÖRTH","AUT"
"Austria","Annika MÜLLER","AUT"
"Austria","Yvonne PAL","AUT"
"Austria","Yvone PAL-POKORNIY","AUT"
"Austria","Alexandra PHILLIPPOVA","AUT"
"Austria","Christine POLT","AUT"
"Austria","Katja PRZYSTAL","AUT"
"Austria","Katharina RAUCH","AUT"
"Austria","Lisa-Franziska RAUCH","AUT"
"Austria","Adrienn SCHADENBAUER-SZILAGY","AUT"
"Austria","Adrienn SCHADENBAUER","AUT"
"Austria","Lisa-Maria SCHATZMANN","AUT"
"Austria","Katja SCHAUER","AUT"
"Austria","Edith SCHILLER","AUT"
"Austria","Helmut SIEBER","AUT"
"Austria","Eva SONNLEITNER","AUT"
"Austria","Ursula STAHL","AUT"
"Austria","Tobias STEINDL","AUT"
"Austria","Aseniya STRATIEVA","AUT"
"Austria","Judith STRAUSS","AUT"
"Austria","Gabriele STREIL","AUT"
"Austria","Karin TRAUNMÜLLER","AUT"
"Austria","Elisabeth WEISER","AUT"
"Austria","Nina WOLFSLAST","AUT"
"Azerbaijan","Evgenia BOGDANOVA","AZE"
"Azerbaijan","Irina KIREEVA","AZE"
"Azerbaijan","Yury KLIUSHNIKOV","AZE"
"Azerbaijan","Yuri KLYUSHNYKOV","AZE"
"Azerbaijan","Irina NECHKINA","AZE"
"Azerbaijan","Igor PASHKEVICH","AZE"
"Belgium","Anne BAETEN","BEL"
"Belgium","Clara BAIWIR","BEL"
"Belgium","Heloïse BALLEUX","BEL"
"Belgium","Patricia BECKX","BEL"
"Belgium","Laurence BEERNAERT","BEL"
"Belgium","Javier Barral CEPEDA","BEL"
"Belgium","Stephanie CHRISTIAENS","BEL"
"Belgium","Maya COENEN","BEL"
"Belgium","Emma COLASSIN","BEL"
"Belgium","Brenda CORLUY","BEL"
"Belgium","Ludo DAEMEN","BEL"
"Belgium","Marcel GEERS","BEL"
"Belgium","Anthony GREVISSE","BEL"
"Belgium","Maxime HANSSENS","BEL"
"Belgium","Tine De HERDT","BEL"
"Belgium","Anny HOU","BEL"
"Belgium","Jill HUBERLAND","BEL"
"Belgium","Patrick IBENS","BEL"
"Belgium","Florine de KEYSER","BEL"
"Belgium","Mathilde MARCHAND","BEL"
"Belgium","Els MOTART","BEL"
"Belgium","Ann MÜSING","BEL"
"Belgium","Annick NOTTERDAM","BEL"
"Belgium","Tom NOYNAERT","BEL"
"Belgium","Kevin van der PERREN","BEL"
"Belgium","Isabelle PIEMAN","BEL"
"Belgium","Annemie de PRETER","BEL"
"Belgium","Francoise DE RAPPARD","BEL"
"Belgium","DE RAPPARD Francoise","BEL"
"Belgium","Annelies RASKER","BEL"
"Belgium","Loni RISKIN","BEL"
"Belgium","Jeroen SCHROYEN","BEL"
"Belgium","Nancy TERLEP","BEL"
"Belgium","Vera VANDECAVEYE","BEL"
"Belgium","Leen VERMEIREN","BEL"
"Belgium","Ina VERRELST","BEL"
"Belgium","Lieve WESTERLINCK","BEL"
"Belgium","Amber De WILDE","BEL"
"Belgium","Rita ZONNEKEYN","BEL"
"Bosnia og Herzegovina","Amel BUREKOVIC","BIH"
"Bosnia og Herzegovina","Zara HUSEDZINOVIC","BIH"
"Bosnia og Herzegovina","Naida KISO","BIH"
"Bosnia og Herzegovina","Tamara LUKIC","BIH"
"Bosnia og Herzegovina","Ubavka NOVAKOVIC-KUTINOU","BIH"
"Bosnia og Herzegovina","Nedim STRBO","BIH"
"Bosnia og Herzegovina","Arijana TIRAK","BIH"
"Bosnia og Herzegovina","Belma TRAJKOV","BIH"
"Belarus","Galina ALEKSANDROVA","BLR"
"Belarus","Alina BAJKOVSKAYA","BLR"
"Belarus","Ksenia BAKUSHEVA","BLR"
"Belarus","Mariya BAKUSHEVA","BLR"
"Belarus","Snezhana BARMOTINA","BLR"
"Belarus","Yurii BIELAIEV","BLR"
"Belarus","Vadim DAVIDOVICH","BLR"
"Belarus","Diana DRAGUN","BLR"
"Belarus","Rufina GONCHARUK","BLR"
"Belarus","Alexandre GOROJDANOV","BLR"
"Belarus","Yurij GULITSKIJ","BLR"
"Belarus","Elizaveta HLYPOVKA","BLR"
"Belarus","Ekaterina HOMCHENKO","BLR"
"Belarus","Irina ILINA","BLR"
"Belarus","Natalya IVANOVA","BLR"
"Belarus","Nikolaj KAMENCHUK","BLR"
"Belarus","Lolita KATSORA","BLR"
"Belarus","Kristina KAUNATSKAYA","BLR"
"Belarus","Vladimir KISLYAKOV","BLR"
"Belarus","Ekaterina KISLYUK","BLR"
"Belarus","Emiliya KOLEGANOVA","BLR"
"Belarus","Georgi KOMAROVSKI","BLR"
"Belarus","Julia KOMLEVA","BLR"
"Belarus","Mikhail KOROLIUK","BLR"
"Belarus","Helena KOSTKO","BLR"
"Belarus","Viktoriya KOVALEVA","BLR"
"Belarus","Viktoria KOVALYOVA","BLR"
"Belarus","Diana KUNTSEVICH","BLR"
"Belarus","Elena LAPKES","BLR"
"Belarus","Viktoriya LIAKHAVA","BLR"
"Belarus","Viktoria LUKYANOVA","BLR"
"Belarus","Anna MERZLIKINA","BLR"
"Belarus","Arina MIASNIKOVA","BLR"
"Belarus","Aleksandr MOROZOV","BLR"
"Belarus","Katsiaryna PAHARTSAVA","BLR"
"Belarus","Alina PARKHOMENKA","BLR"
"Belarus","Irina PEREHREST","BLR"
"Belarus","Ekaterina POGARTSEVA","BLR"
"Belarus","Anastasiya RAMANCHUK","BLR"
"Belarus","Vika SACHKOVA","BLR"
"Belarus","Dzianis SAROKIN","BLR"
"Belarus","Elena SAVOSTOVA","BLR"
"Belarus","Ekaterina SEROVA","BLR"
"Belarus","Evgeniya SHAVEL","BLR"
"Belarus","Zanna SHEMET","BLR"
"Belarus","Diana SHESTAK","BLR"
"Belarus","Alexei SHIRSHOV","BLR"
"Belarus","Irina SHIRSHOVA","BLR"
"Belarus","Violeta SHOSTAK","BLR"
"Belarus","Aleksandra SHUMIDUB","BLR"
"Belarus","Iuliia SOLOVEVA","BLR"
"Belarus","Marina STUPEN","BLR"
"Belarus","Illya SUNTSEV","BLR"
"Belarus","Alina SUPONENKO","BLR"
"Belarus","Helena TABACHNIKOVA","BLR"
"Belarus","Evgenij TARASOV","BLR"
"Belarus","Anastasiia TISHKINA","BLR"
"Belarus","Irina TOKAREVSKAYA","BLR"
"Belarus","Aleksandr TOLSTIK","BLR"
"Belarus","Alisa TURCHINA","BLR"
"Belarus","Olga UVAZHANAYA","BLR"
"Belarus","Galina VALEEVA","BLR"
"Belarus","Halina VALYEVA","BLR"
"Belarus","Il'ya YUHIMUK","BLR"
"Belarus","Vladimir ZAJTSEV","BLR"
"Belarus","Kristina ZAKHARENKO","BLR"
"Bulgaria","Albena ALADJOVA","BUL"
"Bulgaria","Mariya ATSEVA","BUL"
"Bulgaria","Raia BISSEROVA-BAKALOVA","BUL"
"Bulgaria","Thea BOEVA","BUL"
"Bulgaria","Nadejda DASKALOVA","BUL"
"Bulgaria","Georgi DIMKOV","BUL"
"Bulgaria","Nadejda HODJEVA","BUL"
"Bulgaria","Nadezhda HODZHEVA","BUL"
"Bulgaria","Nikolai IANEV","BUL"
"Bulgaria","Iveta MITSOVA","BUL"
"Bulgaria","Alexander PENCHEV","BUL"
"Bulgaria","Vessela POPOVA","BUL"
"Bulgaria","Hristo TURLAKOV","BUL"
"Bulgaria","Yana VANKOVA","BUL"
"Bulgaria","Gavril VELCHEV","BUL"
"Bulgaria","Tatiana YORDANOVA","BUL"
"Bulgaria","Zoia YORDANOVA","BUL"
"Bulgaria","Teodor YOTOV","BUL"
"Canada","Jodi ABBOTT","CAN"
"Canada","Cynthia ALEPIN","CAN"
"Canada","Andre-Marc ALLAIN","CAN"
