rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,12.3,4F,1.0,owg2018,0.0,,9.44,-2.86,,1,,1718,-3.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,-2.0,-3.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,3.2,FCSp4,2.0,owg2018,0.0,,4.41,1.21,,1,,1718,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,3.3,StSq3,3.0,owg2018,0.0,,4.66,1.36,,1,,1718,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,16.06,4T+3T,4.0,owg2018,1.0,,17.92,1.86,,1,,1718,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,9.35,3A,5.0,owg2018,1.0,,11.64,2.29,,1,,1718,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,3.0,CSSp4,6.0,owg2018,0.0,,3.86,0.86,,1,,1718,3.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,3.5,CCoSp4,7.0,owg2018,0.0,,4.71,1.21,,1,,1718,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,,,,owg2018,,1.0,9.39,,,0,Composition,1718,9.5,9.5,9.5,9.75,9.0,9.5,9.5,8.75,9.25,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,,,,owg2018,,1.0,9.36,,,0,Interpretation of the Music,1718,9.5,9.25,9.25,9.5,9.0,9.5,9.5,9.0,9.5,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,,,,owg2018,,1.0,9.25,,,0,Performance,1718,9.0,9.0,9.25,9.5,9.25,9.5,9.25,8.75,9.5,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,,,,owg2018,,1.0,9.36,,,0,Skating Skills,1718,9.5,9.25,9.5,9.75,9.25,9.25,9.5,8.75,9.25,1,men,team
1,Uno Shoma,JPN,10,103.25,56.64,46.61,0.0,,,,owg2018,,1.0,9.25,,,0,Transitions,1718,9.5,9.25,9.5,9.5,8.75,9.0,9.25,9.0,9.25,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,8.5,3A,1.0,owg2018,0.0,,10.36,1.86,,1,,1718,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,10.3,4T,2.0,owg2018,0.0,,11.73,1.43,,1,,1718,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,3.0,CCoSp3,3.0,owg2018,0.0,,3.5,0.5,,1,,1718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,11.33,3Lz+3T,4.0,owg2018,1.0,,12.23,0.9,,1,,1718,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,2.3,FCSp2,5.0,owg2018,0.0,,2.33,0.03,,1,,1718,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,3.3,StSq3,6.0,owg2018,0.0,,3.94,0.64,,1,,1718,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,3.0,CSSp4,7.0,owg2018,0.0,,3.5,0.5,,1,,1718,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,,,,owg2018,,1.0,8.29,,,0,Composition,1718,8.5,8.25,8.5,8.5,8.5,8.5,7.75,6.5,8.0,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,,,,owg2018,,1.0,8.29,,,0,Interpretation of the Music,1718,8.5,8.5,9.0,8.5,8.5,8.5,8.0,6.75,7.5,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,,,,owg2018,,1.0,8.43,,,0,Performance,1718,8.5,8.5,9.0,8.25,8.75,8.5,8.25,7.0,8.25,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,,,,owg2018,,1.0,8.07,,,0,Skating Skills,1718,8.5,8.25,8.5,8.5,8.25,8.0,7.25,6.5,7.75,1,men,team
2,Bychenko Alexei,ISR,7,88.49,47.59,40.9,0.0,,,,owg2018,,1.0,7.82,,,0,Transitions,1718,8.0,8.0,8.25,8.0,8.0,7.75,7.5,5.75,7.5,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,10.3,4T,1.0,owg2018,0.0,,6.3,-4.0,,1,,1718,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,7.3,3Lz+2T,2.0,owg2018,0.0,,7.5,0.2,,1,,1718,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,3.2,CCSp4,3.0,owg2018,0.0,,4.27,1.07,,1,,1718,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,9.35,3A,4.0,owg2018,1.0,,6.35,-3.0,,1,,1718,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,3.9,StSq4,5.0,owg2018,0.0,,5.9,2.0,,1,,1718,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,2.6,FSSp3,6.0,owg2018,0.0,,3.74,1.14,,1,,1718,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,3.5,CCoSp4,7.0,owg2018,0.0,,4.5,1.0,,1,,1718,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1,men,team
3,Chan Patrick,CAN,6,81.66,38.56,45.1,-2.0,,,,owg2018,,1.0,9.14,,,0,Composition,1718,9.25,8.75,9.25,9.5,9.25,9.0,9.0,8.5,9.5,1,men,team
