rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,competition,element,element_no,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.3,owg2026,2A,1.0,0.0,,4.71,1.41,,1,,2526,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,5.3,owg2026,3F,2.0,0.0,,7.19,1.89,,1,,2526,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,7.2,owg2026,3Lz+2T,3.0,0.0,,8.97,1.77,,1,,2526,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.0,owg2026,FSSp4,4.0,0.0,,4.07,1.07,,1,,2526,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.9,owg2026,StSq4,5.0,0.0,,5.4,1.5,,1,,2526,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,4.3,owg2026,3S,6.0,0.0,,5.34,1.04,,1,,2526,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,10.45,owg2026,3Fq+3T,7.0,1.0,,10.3,-0.15,q,1,,2526,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,5.06,owg2026,2A+2T,8.0,1.0,,5.72,0.66,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.0,owg2026,ChSq1,9.0,0.0,,5.0,2.0,,1,,2526,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,5.39,owg2026,3Lo,10.0,1.0,,6.93,1.54,,1,,2526,4.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.5,owg2026,CCoSp4,11.0,0.0,,4.7,1.2,,1,,2526,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,3.5,owg2026,FCCoSp4,12.0,0.0,,4.6,1.1,,1,,2526,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,,owg2026,,,,2.67,9.39,,,0,Composition,2526,9.25,9.25,9.5,9.25,9.5,9.25,9.5,9.75,9.5,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,,owg2026,,,,2.67,9.39,,,0,Presentation,2526,9.5,9.0,9.25,9.5,9.5,9.0,9.75,9.5,9.5,0,women,team
1,Sakamoto Kaori,JPN,5,148.62,72.93,75.69,0.0,,owg2026,,,,2.67,9.57,,,0,Skating Skills,2526,9.75,9.5,9.5,9.5,9.75,9.25,9.5,9.5,9.75,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,9.5,owg2026,3F+3T,1.0,0.0,,10.94,1.44,,1,,2526,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,4.9,owg2026,3Lo,2.0,0.0,,6.23,1.33,,1,,2526,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,5.9,owg2026,3Lz,3.0,0.0,,7.25,1.35,,1,,2526,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,4.3,owg2026,3S,4.0,0.0,,5.16,0.86,,1,,2526,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,3.2,owg2026,FCSp4,5.0,0.0,,4.16,0.96,,1,,2526,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,11.55,owg2026,3Lz+2A+2T+SEQ,6.0,1.0,,12.39,0.84,,1,,2526,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,7.26,owg2026,3F+2T,7.0,1.0,,8.17,0.91,,1,,2526,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,3.63,owg2026,2Aq,8.0,1.0,,3.06,-0.57,q,1,,2526,-2.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,0.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,3.3,owg2026,StSq3,9.0,0.0,,4.29,0.99,,1,,2526,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,3.0,owg2026,ChSq1,10.0,0.0,,4.36,1.36,,1,,2526,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,3.5,owg2026,CCoSp4,11.0,0.0,,4.05,0.55,,1,,2526,2.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0,women,team
