rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,10.5,4Lo,1.0,wc2022,0.0,,14.55,4.05,,1,,2122,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,9.7,4S,2.0,wc2022,0.0,,12.89,3.19,,1,,2122,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,10.8,4T+2T,3.0,wc2022,0.0,,12.16,1.36,,1,,2122,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,8.0,3A,4.0,wc2022,0.0,,11.09,3.09,,1,,2122,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,3.2,FCSp4,5.0,wc2022,0.0,,4.3,1.1,,1,,2122,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,3.0,ChSq1,6.0,wc2022,0.0,,4.64,1.64,,1,,2122,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,12.1,4F,7.0,wc2022,1.0,,16.03,3.93,,1,,2122,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,8.36,4T<,8.0,wc2022,1.0,,6.19,-2.17,<,1,,2122,-4.0,-3.0,-2.0,-1.0,-4.0,-3.0,-3.0,-4.0,-1.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,9.9,3A+1Eu+1F,9.0,wc2022,1.0,,10.47,0.57,,1,,2122,1.0,0.0,0.0,2.0,3.0,0.0,1.0,-2.0,1.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,3.5,FCCoSp4,10.0,wc2022,0.0,,4.7,1.2,,1,,2122,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,3.5,CCoSp4,11.0,wc2022,0.0,,4.95,1.45,,1,,2122,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,3.9,StSq4,12.0,wc2022,0.0,,5.74,1.84,,1,,2122,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,,,,wc2022,,2.0,9.5,,,0,Composition,2122,9.5,9.5,9.25,9.5,9.5,9.5,9.5,9.5,9.75,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,,,,wc2022,,2.0,9.54,,,0,Interpretation of the Music,2122,9.5,9.25,9.5,10.0,9.75,9.25,9.5,9.5,9.75,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,,,,wc2022,,2.0,9.57,,,0,Performance,2122,9.5,9.5,9.5,9.75,9.5,9.5,10.0,9.5,9.75,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,,,,wc2022,,2.0,9.64,,,0,Skating Skills,2122,9.25,9.75,9.5,9.5,9.75,9.75,9.75,9.5,9.75,0,men,individual
1,Shoma Uno,JPN,24,202.85,107.71,95.14,0.0,,,,wc2022,,2.0,9.32,,,0,Transitions,2122,9.5,9.0,9.0,9.25,9.5,9.25,9.5,9.25,9.5,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,9.7,4S,1.0,wc2022,0.0,,13.86,4.16,,1,,2122,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,4.9,4Lo<<,2.0,wc2022,0.0,,2.52,-2.38,<<,1,,2122,-5.0,-5.0,-5.0,-4.0,-5.0,-5.0,-3.0,-5.0,-5.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,9.5,4T,3.0,wc2022,0.0,,13.57,4.07,,1,,2122,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,12.2,3A+3T,4.0,wc2022,0.0,,15.17,2.97,,1,,2122,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,3.0,CSSp4,5.0,wc2022,0.0,,3.77,0.77,,1,,2122,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,3.9,StSq4,6.0,wc2022,0.0,,5.46,1.56,,1,,2122,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,15.73,4T+1Eu+3S,7.0,wc2022,1.0,,19.39,3.66,,1,,2122,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,7.26,3F+2T,8.0,wc2022,1.0,,8.77,1.51,,1,,2122,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,1.21,1A,9.0,wc2022,1.0,,1.26,0.05,,1,,2122,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,3.0,ChSq1,10.0,wc2022,0.0,,4.86,1.86,,1,,2122,3.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,3.5,CCoSp4,11.0,wc2022,0.0,,4.85,1.35,,1,,2122,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,3.5,FCCoSp4,12.0,wc2022,0.0,,5.05,1.55,,1,,2122,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,,,,wc2022,,2.0,9.29,,,0,Composition,2122,9.25,9.0,9.5,8.75,9.25,9.25,9.5,9.25,9.5,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,,,,wc2022,,2.0,9.39,,,0,Interpretation of the Music,2122,9.25,9.25,9.5,9.25,9.5,9.25,9.5,9.5,9.75,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,,,,wc2022,,2.0,9.36,,,0,Performance,2122,9.25,9.0,9.5,9.0,9.5,9.25,9.75,9.5,9.5,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,,,,wc2022,,2.0,9.54,,,0,Skating Skills,2122,9.5,9.5,9.75,9.0,9.75,9.5,9.5,9.5,9.5,0,men,individual
2,Yuma Kagiyama,JPN,23,191.91,98.53,93.38,0.0,,,,wc2022,,2.0,9.11,,,0,Transitions,2122,9.0,8.75,9.25,9.0,9.5,9.0,9.25,9.25,9.0,0,men,individual
